config,instance,severity,method,policy_source,seed,total_cost,departed,cpu,breakdown_count
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,0,3891.5814,20,194.5791,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,1,3827.084,16,239.1928,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,2,3984.8248,20,199.2412,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,3,3864.1254,20,193.2063,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,4,3632.1132,15,242.1409,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,5,3829.5932,21,182.3616,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,6,3857.431,15,257.1621,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,7,3679.9432,17,216.4672,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,8,4065.8412,20,203.2921,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,9,3574.8914,14,255.3494,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,10,3987.1622,20,199.3581,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,11,4106.14,15,273.7427,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,12,3441.9622,12,286.8302,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,13,3762.2576,14,268.7327,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,14,3966.157,16,247.8848,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,15,3904.0334,16,244.0021,
j10c5a2__A070.json,j10c5a2,A070,LeastUtilised,ns:baselines.run_episode,16,3764.4902,15,250.966,
